2024-04- 29 15:48:00: ; Temperatura interna central: 44.30C
2024-04- 29 15:48:00: ; Temperatura do LIDAR: 51.50C
2024-04- 29 15:49:00: ; Temperatura interna central: 44.10C
2024-04- 29 15:49:00: ; Temperatura do LIDAR: 52.50C
2024-04- 29 15:50:00: ; Temperatura interna central: 44.30C
2024-04- 29 15:50:00: ; Temperatura do LIDAR: 52.50C
2024-04- 29 15:51:00: ; Temperatura interna central: 44.40C
2024-04- 29 15:51:00: ; Temperatura do LIDAR: 52.75C
2024-04- 29 15:52:00: ; Temperatura interna central: 44.40C
2024-04- 29 15:52:00: ; Temperatura do LIDAR: 52.75C
2024-04- 29 15:53:00: ; Temperatura interna central: 44.30C
2024-04- 29 15:53:00: ; Temperatura do LIDAR: 53.00C
2024-04- 29 15:54:00: ; Temperatura interna central: 44.10C
2024-04- 29 15:54:00: ; Temperatura do LIDAR: 52.75C
2024-04- 29 15:55:00: ; Temperatura interna central: 44.10C
2024-04- 29 15:55:00: ; Temperatura do LIDAR: 52.50C
2024-04- 29 15:56:00: ; Temperatura interna central: 44.00C
2024-04- 29 15:56:00: ; Temperatura do LIDAR: 52.25C
2024-04- 29 15:57:00: ; Temperatura interna central: 43.70C
2024-04- 29 15:57:00: ; Temperatura do LIDAR: 51.25C
2024-04- 29 15:58:00: ; Temperatura interna central: 43.40C
2024-04- 29 15:58:00: ; Temperatura do LIDAR: 51.75C
2024-04- 29 15:59:00: ; Temperatura interna central: 43.60C
2024-04- 29 15:59:00: ; Temperatura do LIDAR: 52.50C
2024-04- 29 16:00:00: ; Temperatura interna central: 43.50C
2024-04- 29 16:00:00: ; Temperatura do LIDAR: 51.75C
2024-04- 29 16:01:00: ; Temperatura interna central: 43.50C
2024-04- 29 16:01:00: ; Temperatura do LIDAR: 53.00C
2024-04- 29 16:02:00: ; Temperatura interna central: 43.50C
2024-04- 29 16:02:00: ; Temperatura do LIDAR: 52.75C
2024-04- 29 16:03:00: ; Temperatura interna central: 43.40C
2024-04- 29 16:03:00: ; Temperatura do LIDAR: 53.00C
2024-04- 29 16:04:00: ; Temperatura interna central: 43.30C
2024-04- 29 16:04:00: ; Temperatura do LIDAR: 52.75C
2024-04- 29 16:05:00: ; Temperatura interna central: 43.20C
2024-04- 29 16:05:00: ; Temperatura do LIDAR: 52.75C
2024-04- 29 16:06:00: ; Temperatura interna central: 43.20C
2024-04- 29 16:06:00: ; Temperatura do LIDAR: 53.25C
2024-04- 29 16:07:00: ; Temperatura interna central: 43.20C
2024-04- 29 16:07:00: ; Temperatura do LIDAR: 53.00C
2024-04- 29 16:08:00: ; Temperatura interna central: 43.30C
2024-04- 29 16:08:00: ; Temperatura do LIDAR: 53.50C
2024-04- 29 16:09:00: ; Temperatura interna central: 43.50C
2024-04- 29 16:09:00: ; Temperatura do LIDAR: 53.75C
2024-04- 29 16:10:00: ; Temperatura interna central: 43.70C
2024-04- 29 16:10:00: ; Temperatura do LIDAR: 53.25C
2024-04- 29 16:11:00: ; Temperatura interna central: 43.60C
2024-04- 29 16:11:00: ; Temperatura do LIDAR: 52.50C
2024-04- 29 16:12:00: ; Temperatura interna central: 43.40C
2024-04- 29 16:12:00: ; Temperatura do LIDAR: 52.25C
2024-04- 29 16:13:00: ; Temperatura interna central: 43.10C
2024-04- 29 16:13:00: ; Temperatura do LIDAR: 51.00C
2024-04- 29 16:14:00: ; Temperatura interna central: 42.60C
2024-04- 29 16:14:00: ; Temperatura do LIDAR: 49.00C
2024-04- 29 16:15:00: ; Temperatura interna central: 41.80C
2024-04- 29 16:15:00: ; Temperatura do LIDAR: 47.50C
2024-04- 29 16:16:00: ; Temperatura interna central: 40.90C
2024-04- 29 16:16:00: ; Temperatura do LIDAR: 46.75C
2024-04- 29 16:17:00: ; Temperatura interna central: 40.20C
2024-04- 29 16:17:00: ; Temperatura do LIDAR: 47.50C
2024-04- 29 16:18:00: ; Temperatura interna central: 39.60C
2024-04- 29 16:18:00: ; Temperatura do LIDAR: 48.25C
2024-04- 29 16:19:00: ; Temperatura interna central: 39.50C
2024-04- 29 16:19:00: ; Temperatura do LIDAR: 47.75C
2024-04- 29 16:20:00: ; Temperatura interna central: 39.30C
2024-04- 29 16:20:00: ; Temperatura do LIDAR: 48.00C
2024-04- 29 16:21:00: ; Temperatura interna central: 39.10C
2024-04- 29 16:21:00: ; Temperatura do LIDAR: 48.00C
2024-04- 29 16:22:00: ; Temperatura interna central: 39.00C
2024-04- 29 16:22:00: ; Temperatura do LIDAR: 48.25C
2024-04- 29 16:23:00: ; Temperatura interna central: 38.80C
2024-04- 29 16:23:00: ; Temperatura do LIDAR: 47.50C
2024-04- 29 16:24:00: ; Temperatura interna central: 38.60C
2024-04- 29 16:24:00: ; Temperatura do LIDAR: 47.75C
2024-04- 29 16:25:00: ; Temperatura interna central: 38.40C
2024-04- 29 16:25:00: ; Temperatura do LIDAR: 47.00C
2024-04- 29 16:26:00: ; Temperatura interna central: 38.20C
2024-04- 29 16:26:00: ; Temperatura do LIDAR: 47.25C
2024-04- 29 16:27:00: ; Temperatura interna central: 37.90C
