
2024-04- 29 14:54:48: ; Temperatura do chassi: 50.50C
2024-04- 29 14:54:48: ; Temperatura do LIDAR: 64.25C
2024-04- 29 14:55:48: ; Temperatura interna central: 52.30C
2024-04- 29 14:55:48: ; Temperatura interna lateral: 49.70C
2024-04- 29 14:55:48: ; Temperatura do chassi: 50.25C
2024-04- 29 14:55:48: ; Temperatura do LIDAR: 65.75C
2024-04- 29 14:56:48: ; Temperatura interna central: 52.40C
2024-04- 29 14:56:48: ; Temperatura interna lateral: 49.60C
2024-04- 29 14:56:48: ; Temperatura do chassi: 50.50C
2024-04- 29 14:56:48: ; Temperatura do LIDAR: 65.50C
2024-04- 29 14:57:48: ; Temperatura interna central: 52.40C
2024-04- 29 14:57:48: ; Temperatura interna lateral: 49.40C
2024-04- 29 14:57:48: ; Temperatura do chassi: 51.00C
2024-04- 29 14:57:48: ; Temperatura do LIDAR: 66.25C
2024-04- 29 14:58:48: ; Temperatura interna central: 52.30C
2024-04- 29 14:58:48: ; Temperatura interna lateral: 49.60C
2024-04- 29 14:58:48: ; Temperatura do chassi: 50.50C
2024-04- 29 14:58:48: ; Temperatura do LIDAR: 66.50C
2024-04- 29 14:59:48: ; Temperatura interna central: 52.40C
2024-04- 29 14:59:48: ; Temperatura interna lateral: 49.60C
2024-04- 29 14:59:48: ; Temperatura do chassi: 50.25C
2024-04- 29 14:59:48: ; Temperatura do LIDAR: 66.25C
2024-04- 29 15:00:48: ; Temperatura interna central: 51.90C
2024-04- 29 15:00:48: ; Temperatura interna lateral: 49.40C
2024-04- 29 15:00:48: ; Temperatura do chassi: 48.75C
2024-04- 29 15:00:48: ; Temperatura do LIDAR: 64.25C
2024-04- 29 15:01:48: ; Temperatura interna central: 51.10C
2024-04- 29 15:01:48: ; Temperatura interna lateral: 48.60C
2024-04- 29 15:01:48: ; Temperatura do chassi: 48.50C
2024-04- 29 15:01:48: ; Temperatura do LIDAR: 64.50C
2024-04- 29 15:02:48: ; Temperatura interna central: 50.80C
2024-04- 29 15:02:48: ; Temperatura interna lateral: 47.70C
2024-04- 29 15:02:48: ; Temperatura do chassi: 48.25C
2024-04- 29 15:02:48: ; Temperatura do LIDAR: 64.00C
2024-04- 29 15:03:48: ; Temperatura interna central: 50.20C
2024-04- 29 15:03:48: ; Temperatura interna lateral: 47.50C
2024-04- 29 15:03:48: ; Temperatura do chassi: 47.75C
2024-04- 29 15:03:48: ; Temperatura do LIDAR: 63.75C
2024-04- 29 15:04:48: ; Temperatura interna central: 49.40C
2024-04- 29 15:04:48: ; Temperatura interna lateral: 47.00C
2024-04- 29 15:04:48: ; Temperatura do chassi: 47.00C
2024-04- 29 15:04:48: ; Temperatura do LIDAR: 62.25C
2024-04- 29 15:05:48: ; Temperatura interna central: 49.20C
2024-04- 29 15:05:48: ; Temperatura interna lateral: 46.70C
2024-04- 29 15:05:48: ; Temperatura do chassi: 47.75C
