2024-04- 25 13:24:15: ; Temperatura do LIDAR: 44.50C
2024-04- 25 13:25:15: ; Temperatura interna central: 35.10C
2024-04- 25 13:25:15: ; Temperatura do LIDAR: 44.75C
2024-04- 25 13:28:30: ; Temperatura interna central: 35.70C
2024-04- 25 13:28:30: ; Temperatura do LIDAR: 44.00C
2024-04- 25 13:29:30: ; Temperatura interna central: 35.40C
2024-04- 25 13:29:30: ; Temperatura do LIDAR: 44.25C
2024-04- 25 13:30:30: ; Temperatura interna central: 35.20C
2024-04- 25 13:30:30: ; Temperatura do LIDAR: 44.00C
2024-04- 25 13:31:30: ; Temperatura interna central: 35.10C
2024-04- 25 13:31:30: ; Temperatura do LIDAR: 44.25C
2024-04- 25 13:32:30: ; Temperatura interna central: 35.10C
2024-04- 25 13:32:30: ; Temperatura do LIDAR: 44.00C
2024-04- 25 13:33:30: ; Temperatura interna central: 35.00C
2024-04- 25 13:33:30: ; Temperatura do LIDAR: 43.50C
2024-04- 25 13:34:30: ; Temperatura interna central: 34.90C
2024-04- 25 13:34:30: ; Temperatura do LIDAR: 43.50C
